ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Date and Time,Observer,Other - Observer,SIte,Other - SIte,Ceylon Grid ID,Other - Ceylon Grid ID,Burrow ID Number,Type of Burrow,Other - Type of Burrow,Burrow Width (cm),Does this burrow have a gopher frog record?,Did you see a gopher frog?,Did you see a tortoise?,Did you set a trap?,Should this burrow be scoped again?,Burrow Notes ,Did you add the burrow to the scoping Avenza Layer?,Notes ,Could you scope to the end of the burrow?,Has this been scoped previously this season? ,x,y
229,3d5a5f3e-8a3e-4fec-a3e2-d1f960004032,01/29/2024 00:36:18.324,ek30648_USG,01/29/2024 00:36:18.324,ek30648_USG,01/28/2024 00:12:05.153,"Eva_Kerr,Kristina_Hefferle_",,Ceylon WMA,,I8,,I8006,Tortoise Burrow,,30,No,No,No,No,Yes,,Yes,,No,No,-81.58194888,30.94120254
230,74fc60c7-f7f2-42a5-9752-708dff4ad789,01/29/2024 00:36:18.900,ek30648_USG,01/29/2024 00:36:18.900,ek30648_USG,01/28/2024 00:14:21.926,"Eva_Kerr,Kristina_Hefferle_",,Ceylon WMA,,I8,,I8007,Tortoise Burrow,,18,No,No,No,No,Yes,,Yes,,Yes,No,-81.58206112,30.94118888
231,75a182e5-938b-4ffd-9342-607c909b6bcd,01/31/2024 03:46:00.985,kfh39602_USG,01/31/2024 03:46:00.985,kfh39602_USG,01/28/2024 21:25:30.727,"Mia_Cinello-_Smith_,Kristina_Hefferle_",,Ceylon WMA,,F8,,F8009,Tortoise Burrow,,37,No,No,No,No,Yes,,Yes,,No,No,-81.61698251,30.9442816
232,40f25466-a7f0-4a2a-b94f-48dac3bea4d2,01/31/2024 03:46:01.815,kfh39602_USG,01/31/2024 03:46:01.815,kfh39602_USG,1/28/24 21:36,"Mia_Cinello-_Smith_,Kristina_Hefferle_",,Ceylon WMA,,F8,,F8010,Tortoise Burrow,,17,No,No,No,No,No,,Yes,,Yes,No,-81.61707788,30.94458015
233,82ee1031-e7cc-407a-b83a-39a020f5e51e,01/31/2024 03:46:02.346,kfh39602_USG,01/31/2024 03:46:02.346,kfh39602_USG,01/28/2024 22:11:37.508,"Kristina_Hefferle_,Mia_Cinello-_Smith_",,Ceylon WMA,,E6,,E6061,Tortoise Burrow,,30,No,No,No,No,Yes,,Yes,,No,No,-81.62773564,30.95690862
234,3b7fd1e7-6ca4-4072-b49e-5cad0bf5a237,01/31/2024 03:46:02.859,kfh39602_USG,01/31/2024 03:46:02.859,kfh39602_USG,01/28/2024 22:20:29.216,"Kristina_Hefferle_,Mia_Cinello-_Smith_",,Ceylon WMA,,E6,,E6061,Tortoise Burrow,,25,No,No,No,No,No,Collapsed,Yes,,No,No,-81.62762701,30.95678004
235,321db844-393e-48a1-9850-13daffe898c0,01/31/2024 03:46:03.269,kfh39602_USG,01/31/2024 03:46:03.269,kfh39602_USG,01/28/2024 22:31:56.293,"Kristina_Hefferle_,Mia_Cinello-_Smith_",,Ceylon WMA,,E6,,E6062,Tortoise Burrow,,15,No,No,No,No,No,Collapsed,Yes,,No,No,-81.62802392,30.95634774
236,21032898-59a6-4e0f-9175-f70e3473fe69,01/31/2024 03:46:03.792,kfh39602_USG,01/31/2024 03:46:03.792,kfh39602_USG,01/28/2024 22:42:03.506,"Kristina_Hefferle_,Mia_Cinello-_Smith_",,Ceylon WMA,,E6,,E6063,Tortoise Burrow,,17,No,No,No,No,No,Collapsed,Yes,,No,No,-81.62789137,30.95612385
237,ef864b7a-0f2d-4994-9898-40af6268391f,01/31/2024 03:46:04.263,kfh39602_USG,01/31/2024 03:46:04.263,kfh39602_USG,01/28/2024 22:43:28.923,"Kristina_Hefferle_,Mia_Cinello-_Smith_",,Ceylon WMA,,E6,,E6064,Tortoise Burrow,,18,No,No,No,No,No,,Yes,,No,No,-81.62788158,30.95610776
238,69b2a7ed-139f-4d39-a8d5-91e3f92233ac,01/31/2024 03:46:04.842,kfh39602_USG,01/31/2024 03:46:04.842,kfh39602_USG,01/28/2024 22:52:53.211,"Kristina_Hefferle_,Mia_Cinello-_Smith_",,Ceylon WMA,,E6,,E6065,Tortoise Burrow,,24,No,No,No,No,No,Collapsed ,Yes,,No,No,-81.62807016,30.95584713
