ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Date and Time,Observer,Other - Observer,SIte,Other - SIte,Ceylon Grid ID,Other - Ceylon Grid ID,Burrow ID Number,Type of Burrow,Other - Type of Burrow,Burrow Width (cm),Does this burrow have a gopher frog record?,Did you see a gopher frog?,Did you see a tortoise?,Did you set a trap?,Should this burrow be scoped again?,Burrow Notes ,Did you add the burrow to the scoping Avenza Layer?,Notes ,Could you scope to the end of the burrow?,Has this been scoped previously this season? ,x,y
270,be8eed5e-b581-41ba-bf82-63d90011ddc0,02/10/2024 22:09:50.399,prh01934_USG,02/10/2024 22:09:50.399,prh01934_USG,02/10/2024 19:28:56.796,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8023,Tortoise Burrow,,30,No,No,No,No,No,,Yes,,No,No,-81.58336661,30.94121379
271,fc6a9a1f-dbd9-4ce9-b1d1-1282ff73a0d5,02/10/2024 22:09:52.890,prh01934_USG,02/10/2024 22:09:52.890,prh01934_USG,02/10/2024 19:34:03.136,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8024,Tortoise Burrow,,20,No,No,No,No,No,Collapsed,Yes,,No,No,-81.58316289,30.94107405
272,928b24f0-d58d-4de5-841f-19dcf2d8630b,02/10/2024 22:09:54.905,prh01934_USG,02/10/2024 22:09:54.905,prh01934_USG,02/10/2024 19:37:04.263,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8025,Tortoise Burrow,,17,No,No,No,No,No,,Yes,,Yes,No,-81.58325122,30.94094331
273,60dffaf7-c421-4095-8453-af3378391292,02/10/2024 22:09:56.625,prh01934_USG,02/10/2024 22:09:56.625,prh01934_USG,02/10/2024 19:44:24.745,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8026,Tortoise Burrow,,18,No,No,No,No,No,,Yes,,Yes,No,-81.58291551,30.94093676
274,5896ee91-c917-45ee-9c83-daa0a9c2d0dc,02/10/2024 22:10:12.826,prh01934_USG,02/10/2024 22:10:12.826,prh01934_USG,02/10/2024 19:52:26.332,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8027,Tortoise Burrow,,32,No,No,No,No,Yes,Mouse,Yes,,No,No,-81.5831278,30.94157025
275,9692e549-5ccf-4945-a38f-f502f23e64ba,02/10/2024 22:10:13.673,prh01934_USG,02/10/2024 22:10:13.673,prh01934_USG,2/10/24 19:58,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8028,Tortoise Burrow,,8,No,No,Yes,No,Yes,,Yes,,No,No,-81.58319619,30.94161658
276,1fd44505-14a7-4a65-92e0-9b28a6fe0232,02/10/2024 22:10:15.627,prh01934_USG,02/10/2024 22:10:15.627,prh01934_USG,02/10/2024 20:04:06.684,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8029,Tortoise Burrow,,34,No,No,No,No,Yes,,Yes,,No,No,-81.58337089,30.94166492
277,3d7d4c6d-4395-4096-af99-fe65a4c0fdb1,02/10/2024 22:39:26.200,prh01934_USG,02/10/2024 22:39:26.200,prh01934_USG,2/10/24 20:22,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8032,Tortoise Burrow,,7,No,No,No,No,No,,Yes,,Yes,No,-81.58366023,30.94216497
278,e5e63da5-63fa-445c-b0c8-244eabd62c13,02/10/2024 22:39:27.014,prh01934_USG,02/10/2024 22:39:27.014,prh01934_USG,02/10/2024 20:30:35.609,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8033,Tortoise Burrow,,18,No,No,No,No,Yes,,Yes,,Yes,No,-81.58399614,30.94193587
279,7067b2c8-4b22-473f-a82e-2c7e61fae3fa,02/10/2024 22:39:28.100,prh01934_USG,02/10/2024 22:39:28.100,prh01934_USG,2/10/24 20:35,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8034,Tortoise Burrow,,30,No,No,No,No,Yes,,Yes,,No,No,-81.58408829,30.94180225
280,4c7f6a65-5478-4fb5-86ad-f2f8f80987d0,02/10/2024 22:39:29.017,prh01934_USG,02/10/2024 22:39:29.017,prh01934_USG,02/10/2024 20:44:33.663,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8035,Tortoise Burrow,,5,No,No,No,No,No,,Yes,,Yes,No,-81.58430029,30.94171202
281,4b779f0d-4045-494c-9163-21fa97ef441a,02/10/2024 22:39:29.681,prh01934_USG,02/10/2024 22:39:29.681,prh01934_USG,2/10/24 21:04,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8039,Tortoise Burrow,,16,No,No,No,No,No,,Yes,,No,No,-81.58428589,30.94150389
282,9053bebd-22d6-4598-a207-48bc03cfcd37,02/10/2024 22:39:30.338,prh01934_USG,02/10/2024 22:39:30.338,prh01934_USG,02/10/2024 21:14:06.910,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8040,Tortoise Burrow,,17,No,No,No,No,No,,Yes,,Yes,No,-81.58370902,30.94108767
283,e97e68bb-b030-42c4-84b4-b2b79aa8d0b0,02/10/2024 22:39:31.099,prh01934_USG,02/10/2024 22:39:31.099,prh01934_USG,2/10/24 21:20,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8041,Tortoise Burrow,,28,No,No,No,No,Yes,,Yes,,Yes,No,-81.58293534,30.94084038
284,81fce02b-0764-44e9-afaa-ed312ebb7bdf,02/10/2024 22:39:32.019,prh01934_USG,02/10/2024 22:39:32.019,prh01934_USG,02/10/2024 21:22:55.262,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8042,Tortoise Burrow,,21,No,No,No,No,No,,Yes,,No,No,-81.58288894,30.94080997
285,d3589d23-ef77-4832-9523-525bc781a9ca,02/10/2024 22:39:33.239,prh01934_USG,02/10/2024 22:39:33.239,prh01934_USG,02/10/2024 21:46:46.541,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8048,Tortoise Burrow,,7,No,No,No,No,Yes,Snake,Yes,,No,No,-81.58282102,30.94110938
286,04d28def-fb4f-4348-a41e-7c4678f88005,02/11/2024 15:14:36.133,ecm95540_USG,02/11/2024 15:14:36.133,ecm95540_USG,02/11/2024 15:12:03.727,"Eva_Kerr,Kristina_Hefferle_,other",Erin and paul,Ceylon WMA,,I8,,I8051,Tortoise Burrow,,20,No,No,No,No,Yes,,Yes,,No,No,-81.5808575,30.94073406
287,a5535168-4372-4254-83b8-933764dc70d7,02/11/2024 15:17:37.588,ek30648_USG,02/11/2024 15:17:37.588,ek30648_USG,02/10/2024 17:55:46.893,"Eva_Kerr,Kristina_Hefferle_,other",Paul and Erin,Ceylon WMA,,I8,,I8010,Tortoise Burrow,,34,No,No,No,No,Yes,,Yes,,No,No,-81.58301961,30.94140422
288,2aaa20d0-031b-4473-bb92-72f41369f832,02/11/2024 15:17:40.010,ek30648_USG,02/11/2024 15:17:40.010,ek30648_USG,02/10/2024 19:09:56.145,"Eva_Kerr,Kristina_Hefferle_,other",Paul and Erin,Ceylon WMA,,I8,,I8019,Tortoise Burrow,,10,No,No,No,No,Yes,,Yes,,No,No,-81.58341022,30.94134136
289,0d4b2224-f208-416e-9b3d-5be4eddeebb1,02/11/2024 15:17:40.763,ek30648_USG,02/11/2024 15:17:40.763,ek30648_USG,02/10/2024 20:11:27.259,"Eva_Kerr,Kristina_Hefferle_,other",Paul and Erin,Ceylon WMA,,I8,,I8030,Tortoise Burrow,,26,No,No,No,No,Yes,,Yes,,No,No,-81.58346656,30.94192674
290,b4a6f858-645f-4b6d-9f6e-fdfdd257018b,02/11/2024 15:17:41.385,ek30648_USG,02/11/2024 15:17:41.385,ek30648_USG,02/10/2024 21:33:39.582,"Eva_Kerr,Kristina_Hefferle_,other",Paul and Erin ,Ceylon WMA,,I8,,I8045,Tortoise Burrow,,25,No,No,No,No,No,Collapsed ,Yes,,Yes,No,-81.58255592,30.94093202
291,3e033d1c-1992-4d15-aee8-42cbf5fc5391,02/11/2024 15:17:42.640,ek30648_USG,02/11/2024 15:17:42.640,ek30648_USG,02/10/2024 21:40:16.459,"Eva_Kerr,Kristina_Hefferle_",,Ceylon WMA,,I8,,I8047,Tortoise Burrow,,7,No,No,No,No,Yes,,Yes,,Yes,No,-81.58290674,30.94116603
292,e8c96bb2-db9f-4812-985a-0ad2d66b7a64,02/11/2024 15:17:43.735,ek30648_USG,02/11/2024 15:17:43.735,ek30648_USG,02/11/2024 15:16:03.655,"Eva_Kerr,Kristina_Hefferle_,other",Erin and Paul ,Ceylon WMA,,I8,,I8052,Tortoise Burrow,,22,No,No,No,No,Yes,,Yes,,No,No,-81.58091189,30.94071268
293,4703a245-9d17-40e1-bb43-2d2c58ccea77,02/11/2024 15:35:04.117,ecm95540_USG,02/11/2024 15:35:04.117,ecm95540_USG,02/11/2024 15:31:32.746,"Eva_Kerr,Kristina_Hefferle_,other",Erin and Paul,Ceylon WMA,,I8,,I8057,Tortoise Burrow,,17,No,No,No,No,Yes,"An old burrow
",Yes,,No,No,-81.58063341,30.94059207
294,3787426d-0c23-4c88-9b7d-3fe60cab431d,02/11/2024 15:49:06.898,ecm95540_USG,02/11/2024 15:49:06.898,ecm95540_USG,02/11/2024 15:46:40.074,"Eva_Kerr,Kristina_Hefferle_,other",Erin and Paul,Ceylon WMA,,I8,,I8060,Tortoise Burrow,,32,No,No,Yes,No,Yes,,Yes,,Yes,No,-81.57977447,30.94047668
295,da1de68a-c250-49f5-9957-6fef6f69c07a,02/11/2024 15:59:03.106,ecm95540_USG,02/11/2024 15:59:03.106,ecm95540_USG,02/11/2024 15:55:10.865,"Eva_Kerr,Kristina_Hefferle_,other",Erin and Paul,Ceylon WMA,,I8,,I8063,Tortoise Burrow,,33,No,No,Yes,No,Yes,,Yes,,Yes,No,-81.57954702,30.94074473
296,28ee6a83-e9d0-4237-9831-c26b0777d833,02/11/2024 16:08:39.617,ecm95540_USG,02/11/2024 16:08:39.617,ecm95540_USG,02/11/2024 16:02:29.928,"Eva_Kerr,Kristina_Hefferle_,other",Erin and Paul,Ceylon WMA,,I8,,I8064,Tortoise Burrow,,22,No,No,No,No,Yes,,Yes,,Yes,No,-81.57931102,30.94090363
297,4f03a735-7364-4b3a-aa84-25e25ada5d63,02/11/2024 16:18:40.892,ecm95540_USG,02/11/2024 16:18:40.892,ecm95540_USG,02/11/2024 16:10:21.773,"Eva_Kerr,Kristina_Hefferle_,other",Erin and Paul,Ceylon WMA,,I8,,I8066,Tortoise Burrow,,32,No,No,Yes,No,Yes,,Yes,,Yes,No,-81.57944802,30.9410121
298,27a61ffb-ed66-49d1-88ee-69971a0d10ef,02/11/2024 16:33:12.607,ecm95540_USG,02/11/2024 16:33:12.607,ecm95540_USG,02/11/2024 16:29:48.836,"Eva_Kerr,Kristina_Hefferle_,other",Erin and Paul,Ceylon WMA,,I8,,I8071,Tortoise Burrow,,29,No,No,Yes,No,Yes,,Yes,,Yes,No,-81.58003998,30.9407807
299,41f7e26a-7f99-4ce5-8cdd-3b460747577e,02/11/2024 16:43:56.086,ecm95540_USG,02/11/2024 16:43:56.086,ecm95540_USG,02/11/2024 16:35:28.352,"Eva_Kerr,Kristina_Hefferle_,other",Erin and Paul,Ceylon WMA,,I8,,I8073,Tortoise Burrow,,26,No,No,Yes,No,Yes,,Yes,,Yes,No,-81.58016985,30.94081747
300,63a4d56e-a805-4084-8df5-1d0065c52250,02/11/2024 16:53:20.483,ecm95540_USG,02/11/2024 16:53:20.483,ecm95540_USG,02/11/2024 16:48:24.281,"Eva_Kerr,Kristina_Hefferle_,other",Erin and Paul,Ceylon WMA,,I8,,I8076,Tortoise Burrow,,29,No,No,No,No,Yes,,Yes,,No,No,-81.58034694,30.94108191
301,a35f2fce-cc54-46f2-a6ae-399ca1b7209d,02/11/2024 16:58:21.652,ecm95540_USG,02/11/2024 16:58:21.652,ecm95540_USG,02/11/2024 16:55:54.395,"Eva_Kerr,Kristina_Hefferle_,other",Erin and Paul,Ceylon WMA,,I8,,I8078,Tortoise Burrow,,16,No,No,No,No,No,Full of leaves and pine straw ,Yes,,No,No,-81.58036283,30.94100096
302,8e5a92bf-b55b-4fba-a21a-94f4f4037fc0,02/11/2024 17:49:33.876,ecm95540_USG,02/11/2024 17:49:33.876,ecm95540_USG,02/11/2024 17:47:24.487,"Eva_Kerr,Kristina_Hefferle_,other",Paul and Erin,Ceylon WMA,,I8,,I8081,Tortoise Burrow,,20,No,No,No,No,Yes,,Yes,,Yes,No,-81.58162441,30.94129791
303,2524fae7-cb54-46c5-9943-f8cbabfbeb44,02/11/2024 17:55:02.042,ecm95540_USG,02/11/2024 17:55:02.042,ecm95540_USG,02/11/2024 17:51:33.257,"Eva_Kerr,Kristina_Hefferle_,other",Erin and Paul,Ceylon WMA,,I8,,I8084,Tortoise Burrow,,15,No,No,No,No,Yes,,Yes,,Yes,No,-81.58172295,30.94124175
304,80b4f51b-dafe-43e2-b78d-26aad07cc04b,02/11/2024 18:18:08.340,ecm95540_USG,02/11/2024 18:18:08.340,ecm95540_USG,02/11/2024 17:56:08.981,"Eva_Kerr,Kristina_Hefferle_,other",Erin and Paul,Ceylon WMA,,I8,,I8086,Tortoise Burrow,,30,No,No,Yes,No,Yes,Longest burrow ever known to man,Yes,,Yes,No,-81.58175639,30.94114821
305,ce452e68-17cc-40b2-9bbf-f8a29e51c6f1,02/11/2024 18:20:48.195,ecm95540_USG,02/11/2024 18:20:48.195,ecm95540_USG,02/11/2024 18:19:02.661,"Eva_Kerr,Kristina_Hefferle_,other",Erin and Paul,Ceylon WMA,,I8,,I8087,Tortoise Burrow,,28,No,No,Yes,No,Yes,,Yes,,Yes,No,-81.58166829,30.94118704
306,e57345a8-30f5-4ad1-9464-b0e5a06d3304,02/11/2024 18:55:47.829,ecm95540_USG,02/11/2024 18:55:47.829,ecm95540_USG,02/11/2024 18:50:59.510,"Eva_Kerr,Kristina_Hefferle_,other",Erin and Paul,Ceylon WMA,,I8,,I8090,Tortoise Burrow,,7,No,No,No,No,Yes,,Yes,,No,No,-81.58127385,30.94156784
307,85b64a0d-3857-4e25-abd7-f2c4f533e10c,02/11/2024 19:16:12.787,ecm95540_USG,02/11/2024 19:16:12.787,ecm95540_USG,02/11/2024 19:13:32.942,"Eva_Kerr,Kristina_Hefferle_,other",Erin and Paul,Ceylon WMA,,I8,,I8093,Tortoise Burrow,,17,No,No,Yes,No,Yes,,Yes,,Yes,No,-81.58135486,30.94155143
308,bf83da6e-d380-4174-9f6c-864aafaea1ed,02/11/2024 19:25:08.057,ecm95540_USG,02/11/2024 19:25:08.057,ecm95540_USG,02/11/2024 19:18:27.026,"Eva_Kerr,Kristina_Hefferle_,other",Erin and Paul,Ceylon WMA,,I8,,I8094,Tortoise Burrow,,31,No,No,No,No,Yes,,Yes,,Yes,No,-81.5812966,30.9417924
309,acf90ca5-59ff-4927-a48c-9561e3c5c778,02/11/2024 19:30:09.107,ecm95540_USG,02/11/2024 19:30:09.107,ecm95540_USG,02/11/2024 19:26:48.020,"Eva_Kerr,Kristina_Hefferle_,other",Erin and Paul,Ceylon WMA,,I8,,I8095,Tortoise Burrow,,35,No,No,No,No,No,Collapsed ,Yes,,Yes,No,-81.58133398,30.94195983
310,fb5293a8-3611-46cb-b175-7992aa0d12c9,02/11/2024 19:47:59.883,ecm95540_USG,02/11/2024 19:47:59.883,ecm95540_USG,02/11/2024 19:45:13.595,"Eva_Kerr,Kristina_Hefferle_,other",Erin and Paul,Ceylon WMA,,I8,,I8098,Tortoise Burrow,,7,No,No,No,No,No,,Yes,,Yes,No,-81.5823335,30.94127913
311,2c34b640-e8f4-49a7-a04f-43e61cada0eb,02/11/2024 20:02:59.621,ecm95540_USG,02/11/2024 20:02:59.621,ecm95540_USG,02/11/2024 19:51:04.512,"Eva_Kerr,Kristina_Hefferle_,other",Erin and Paul,Ceylon WMA,,I8,,I8001,Tortoise Burrow,,18,Yes,No,No,No,Yes,,Yes,,Yes,Yes,-81.5821733,30.94076572
312,4de3baf9-fbf7-4cb7-ba93-a370a978d9b0,02/11/2024 20:36:12.486,prh01934_USG,02/11/2024 20:36:12.486,prh01934_USG,02/11/2024 15:02:26.679,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8049,Tortoise Burrow,,30,No,No,No,No,Yes,,Yes,,Yes,No,-81.58097623,30.94044289
313,e4f521c0-2349-4d83-8723-b6815036703f,02/11/2024 20:36:13.140,prh01934_USG,02/11/2024 20:36:13.140,prh01934_USG,02/11/2024 15:11:19.459,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8050,Tortoise Burrow,,8,No,No,No,No,No,,Yes,,Yes,No,-81.58073086,30.94042934
314,f3a36cd2-e58c-4ddf-9ae1-38870946a70e,02/11/2024 20:36:13.748,prh01934_USG,02/11/2024 20:36:13.748,prh01934_USG,2/11/24 15:19,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8O54,Tortoise Burrow,,20,No,No,No,No,Yes,,Yes,,Yes,No,-81.58070084,30.94046221
315,a1b25aff-265d-4448-9540-9712233078af,02/11/2024 20:36:14.327,prh01934_USG,02/11/2024 20:36:14.327,prh01934_USG,02/11/2024 15:23:57.772,"Eva_Kerr,other","Erin, Paul",Ceylon WMA,,I8,,I8055,Tortoise Burrow,,30,No,No,Yes,No,Yes,,Yes,,No,No,-81.58074923,30.94086437
316,8d54e0bf-664c-4127-af7a-feea6d5ba9c7,02/11/2024 20:36:14.765,prh01934_USG,02/11/2024 20:36:14.765,prh01934_USG,02/11/2024 15:27:03.549,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8056,Tortoise Burrow,,36,No,No,Yes,No,Yes,We like this one a lot.,Yes,,No,No,-81.58081283,30.94098719
317,73cfbcce-4e03-4c66-97ae-fb9456cc1572,02/11/2024 20:36:15.226,prh01934_USG,02/11/2024 20:36:15.226,prh01934_USG,2/11/24 15:38,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8058,Tortoise Burrow,,25,No,No,No,No,No,Full of leaves/not maintained ,Yes,,Yes,No,-81.57961496,30.94049463
318,7ba7879b-4fa1-4426-a184-8a4184ac022d,02/11/2024 20:36:15.704,prh01934_USG,02/11/2024 20:36:15.704,prh01934_USG,02/11/2024 15:42:42.091,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8059,Tortoise Burrow,,29,No,No,No,No,Yes,,Yes,,Yes,No,-81.57973517,30.9404268
319,d7436ab3-1578-4918-b0fd-daaa90945d16,02/11/2024 20:36:16.198,prh01934_USG,02/11/2024 20:36:16.198,prh01934_USG,02/11/2024 15:50:11.631,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8061,Tortoise Burrow,,32,No,No,No,No,Yes,,Yes,,No,No,-81.57959893,30.94064462
320,271409a1-20a9-4a88-b61e-4cecc74de8cb,02/11/2024 20:36:17.019,prh01934_USG,02/11/2024 20:36:17.019,prh01934_USG,2/11/24 15:59,"Eva_Kerr,Kristina_Hefferle_,Jade_Samples",,Ceylon WMA,,I8,,I8062,Tortoise Burrow,,30,No,No,Yes,No,Yes,,Yes,,No,No,-81.5793578,30.94082784
321,6e64adf9-a9f0-41bd-b73f-0239615b8c50,02/11/2024 20:36:17.956,prh01934_USG,02/11/2024 20:36:17.956,prh01934_USG,02/11/2024 16:23:25.987,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8069,Tortoise Burrow,,33,No,No,No,No,No,,Yes,,No,No,-81.57969415,30.94089395
322,6e89c19b-3c35-496a-b4fb-66ad3b2d13ab,02/11/2024 20:36:18.669,prh01934_USG,02/11/2024 20:36:18.669,prh01934_USG,02/11/2024 16:28:41.046,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8070,Tortoise Burrow,,10,No,No,No,No,Yes,,Yes,,Yes,No,-81.57983524,30.94074156
323,c34a13ff-8bd4-41e7-be73-025f1a1fb50c,02/11/2024 20:36:19.325,prh01934_USG,02/11/2024 20:36:19.325,prh01934_USG,02/11/2024 16:34:36.526,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8072,Tortoise Burrow,,17,No,No,No,No,No,Collapsed ,Yes,,Yes,No,-81.57999371,30.94069251
324,209d0300-53d6-408d-88f6-da5127d6e56b,02/11/2024 20:36:20.041,prh01934_USG,02/11/2024 20:36:20.041,prh01934_USG,02/11/2024 16:39:35.102,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8074,Tortoise Burrow,,15,No,No,No,No,Yes,,Yes,,No,No,-81.58021521,30.94096909
325,3ab49a0e-1fb7-4490-b651-410fe436608d,02/11/2024 20:36:20.676,prh01934_USG,02/11/2024 20:36:20.676,prh01934_USG,02/11/2024 16:48:02.253,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8075,Tortoise Burrow,,22,No,No,No,No,No,,Yes,,No,No,-81.58020009,30.94114909
326,7877e822-9ee6-49c5-800a-ac3f675d3bf4,02/11/2024 20:36:21.303,prh01934_USG,02/11/2024 20:36:21.303,prh01934_USG,2/11/24 16:50,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8077,Tortoise Burrow,,20,No,No,Yes,No,Yes,,Yes,,No,No,-81.5803121,30.94116777
327,8b22a6fb-5e85-47c0-af98-bb64df836877,02/11/2024 20:36:21.942,prh01934_USG,02/11/2024 20:36:21.942,prh01934_USG,02/11/2024 17:37:31.317,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8079,Tortoise Burrow,,30,No,No,No,No,Yes,,Yes,,No,No,-81.58119915,30.94056984
328,ca111989-6086-4735-ac8b-d8b2dc11bf43,02/11/2024 20:36:22.585,prh01934_USG,02/11/2024 20:36:22.585,prh01934_USG,02/11/2024 17:49:02.393,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8082,Tortoise Burrow,,34,No,No,Yes,No,Yes,,Yes,,Yes,No,-81.58117176,30.94088173
329,39391231-6746-45e1-974d-5efad353cafa,02/11/2024 20:36:23.283,prh01934_USG,02/11/2024 20:36:23.283,prh01934_USG,02/11/2024 17:52:02.351,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul ",Ceylon WMA,,I8,,I8083,Tortoise Burrow,,27,No,No,Yes,No,Yes,,Yes,,No,No,-81.58130247,30.94094869
330,852ee977-8420-424b-a050-d9d799ec5b38,02/11/2024 20:36:23.786,prh01934_USG,02/11/2024 20:36:23.786,prh01934_USG,02/11/2024 18:48:21.792,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8089,Tortoise Burrow,,15,No,No,No,Yes,Yes,,Yes,,Yes,No,-81.58132859,30.94139082
331,1a06000c-f5b5-4854-ba68-bf5d72541840,02/11/2024 20:36:24.530,prh01934_USG,02/11/2024 20:36:24.530,prh01934_USG,2/11/24 19:05,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8092,Tortoise Burrow,,31,No,No,No,No,Yes,,Yes,,No,No,-81.58128655,30.94163311
332,9cdc87d2-3841-47a2-9c67-f5dcebda7330,02/11/2024 20:36:25.163,prh01934_USG,02/11/2024 20:36:25.163,prh01934_USG,02/11/2024 19:57:31.171,"Eva_Kerr,Kristina_Hefferle_,other","Erin, Paul",Ceylon WMA,,I8,,I8048,Tortoise Burrow,,7,No,No,No,No,No,,Yes,,Yes,Yes,-81.58287047,30.94113362
333,abbb5497-62a1-4812-ac7f-f299f3d036d0,02/12/2024 14:36:01.227,ek30648_USG,02/12/2024 14:36:01.227,ek30648_USG,02/11/2024 16:19:00.417,"Eva_Kerr,Kristina_Hefferle_",,Ceylon WMA,,I8,,I8068,Tortoise Burrow,,30,No,No,Yes,No,Yes,,Yes,,No,No,-81.5797064,30.94109148
334,a6338bae-6d82-46d2-ab9c-6dc5cc38d945,02/12/2024 14:36:02.423,ek30648_USG,02/12/2024 14:36:02.423,ek30648_USG,02/11/2024 18:21:48.439,"Kristina_Hefferle_,Eva_Kerr,other",Paul and Erin ,Ceylon WMA,,I8,,I8088,Tortoise Burrow,,51,No,No,No,No,Yes,It’s really hard to scope ,Yes,,No,No,-81.58146411,30.94120676
335,911e3a13-c80b-4ad7-8ca8-3520c4014503,02/12/2024 14:36:03.459,ek30648_USG,02/12/2024 14:36:03.459,ek30648_USG,02/11/2024 19:31:22.070,"Eva_Kerr,Kristina_Hefferle_,other",Paul and Erin ,Ceylon WMA,,I8,,I8096,Tortoise Burrow,,13,No,No,No,No,No,,Yes,,No,No,-81.58142788,30.94180242
336,157724cb-ef67-4800-a500-556ac22c4d19,02/12/2024 14:36:04.577,ek30648_USG,02/12/2024 14:36:04.577,ek30648_USG,02/11/2024 21:45:19.206,"Eva_Kerr,Kristina_Hefferle_",,Ceylon WMA,,D8,,D8001,Tortoise Burrow,,13,No,No,No,No,No,,Yes,,No,No,-81.63537503,30.94229673
337,9ec20e27-41ff-4435-9a00-444a49106c87,02/12/2024 14:36:05.227,ek30648_USG,02/12/2024 14:36:05.227,ek30648_USG,02/11/2024 22:00:05.738,"Kristina_Hefferle_,Eva_Kerr",,Ceylon WMA,,D8,,D8003,Tortoise Burrow,,30,No,No,Yes,No,Yes,Really well maintained ,Yes,,No,No,-81.63607832,30.94241001
338,3f231c66-727b-4228-8395-e72603201e7c,02/12/2024 18:52:33.654,kfh39602_USG,02/12/2024 18:52:33.654,kfh39602_USG,02/06/2024 18:53:01.641,Kristina_Hefferle_,,Ceylon WMA,,E6,,E6066,Stump Hole,,15,No,No,No,No,No,Collapsed,Yes,,No,No,-81.62839936,30.95416498
339,61e48edf-f0fa-4803-bf7c-8157c733e51d,02/12/2024 18:52:34.856,kfh39602_USG,02/12/2024 18:52:34.856,kfh39602_USG,02/06/2024 19:20:39.622,"Eva_Kerr,Kristina_Hefferle_",,Ceylon WMA,,E6,,E6072,Tortoise Burrow,,15,No,No,No,No,No,"Full of leaves 
",Yes,,No,No,-81.62816131,30.95384631
340,c0ce2057-1184-4ce9-b909-25cc16b88763,02/12/2024 18:52:35.434,kfh39602_USG,02/12/2024 18:52:35.434,kfh39602_USG,02/06/2024 19:24:06.568,"Kristina_Hefferle_,Eva_Kerr",,Ceylon WMA,,E6,,E6073,Tortoise Burrow,,15,No,No,No,No,Yes,,Yes,,No,No,-81.62795071,30.95390952
341,26fda135-74b5-4d85-af7b-c11cf6d7e88c,02/12/2024 18:52:36.149,kfh39602_USG,02/12/2024 18:52:36.149,kfh39602_USG,02/06/2024 19:28:42.235,Kristina_Hefferle_,,Ceylon WMA,,E6,,E6074,Tortoise Burrow,,30,No,No,No,No,No,"Fine burrow, not deep at all ",Yes,,Yes,No,-81.62777812,30.95397532
